Campaign,Ad Group,Keyword,Match Type
CR Search - Lead Gen (US),Angi-Thumbtack Alternative,angi alternative,Phrase
CR Search - Lead Gen (US),Angi-Thumbtack Alternative,thumbtack alternative,Phrase
CR Search - Lead Gen (US),Angi-Thumbtack Alternative,homeadvisor alternative,Phrase
CR Search - Lead Gen (US),Angi-Thumbtack Alternative,alternative to angi,Phrase
CR Search - Lead Gen (US),Angi-Thumbtack Alternative,stop buying shared leads,Phrase
CR Search - Lead Gen (US),Angi-Thumbtack Alternative,exclusive leads not shared,Phrase
CR Search - Lead Gen (US),Angi-Thumbtack Alternative,thumbtack alternative,Exact
CR Search - Lead Gen (US),Angi-Thumbtack Alternative,angi alternative,Exact
CR Search - Lead Gen (US),Website Visitor ID,identify website visitors,Phrase
CR Search - Lead Gen (US),Website Visitor ID,website visitor identification,Phrase
CR Search - Lead Gen (US),Website Visitor ID,anonymous website visitor identification,Phrase
CR Search - Lead Gen (US),Website Visitor ID,turn website visitors into leads,Phrase
CR Search - Lead Gen (US),Website Visitor ID,website visitor to lead,Phrase
CR Search - Lead Gen (US),Website Visitor ID,website visitor identification,Exact
CR Search - Lead Gen (US),Website Visitor ID,identify anonymous website visitors,Exact
